ICM_ID,boundary,landchange_allowed
852,2D compartment,1
853,2D compartment,1
854,2D compartment,1
855,2D compartment,1
856,2D compartment,1
857,2D compartment,1
858,2D compartment,1
859,2D compartment,1
860,2D compartment,1
861,2D compartment,1
862,2D compartment,1
863,2D compartment,1
864,2D compartment,1
865,2D compartment,1
866,2D compartment,1
867,2D compartment,1
868,2D compartment,1
869,2D compartment,1
870,1D lateral connection,0
871,1D terminal connection,0
872,2D compartment,1
873,2D compartment,1
874,2D compartment,1
875,modeled as 1D reach,0
876,2D compartment,1
877,2D compartment,1
878,modeled as 1D reach,0
879,modeled as 1D reach,0
880,2D compartment,1
881,2D compartment,1
882,2D compartment,1
883,2D compartment,1
884,modeled as 1D reach,0
885,modeled as 1D reach,0
886,2D compartment,1
887,modeled as 1D reach,0
888,1D lateral connection,0
889,modeled as 1D reach,0
890,2D compartment,1
891,2D compartment,1
892,2D compartment,1
893,2D compartment,1
894,2D compartment,1
895,2D compartment,1
896,2D compartment,1
897,modeled as 1D reach,0
898,modeled as 1D reach,0
899,1D lateral connection,0
900,2D compartment,1
901,2D compartment,1
902,2D compartment,1
903,2D compartment,1
904,2D compartment,1
905,2D compartment,1
906,2D compartment,1
907,2D compartment,1
908,2D compartment,1
909,2D compartment - GoM,0
910,2D compartment,1
911,2D tributary boundary (Qmult > 0),0
912,2D compartment,1
913,2D compartment,1
914,2D compartment,1
915,2D compartment,1
916,2D compartment,1
917,2D compartment,1
918,2D compartment,1
919,2D compartment,1
920,2D compartment,1
921,2D compartment,1
922,2D compartment,1
923,2D compartment,1
924,2D compartment,1
925,2D compartment,1
926,2D compartment,1
927,2D compartment,1
928,2D compartment,1
929,1D lateral connection,0
930,2D compartment,1
931,1D lateral connection,0
932,2D compartment - GoM,0
933,2D compartment,1
934,2D compartment,1
935,2D compartment,1
936,2D compartment,1
937,2D compartment,1
938,2D compartment,1
939,2D compartment,1
940,2D compartment,1
941,2D compartment,1
942,2D compartment,1
943,2D compartment,1
944,2D compartment,1
945,2D compartment,1
946,modeled as 1D reach,0
947,2D compartment,1
948,2D compartment,1
949,2D compartment,1
950,2D compartment,1
951,2D compartment,1
952,1D lateral connection,0
953,2D compartment,1
954,2D compartment,1
955,2D compartment,1
956,2D compartment,1
957,2D compartment,1
958,2D compartment,1
959,2D compartment,1
960,2D compartment,1
961,2D compartment,1
962,2D compartment,1
963,2D compartment - GoM,0
964,2D compartment - GoM,0
965,2D compartment - GoM,0
966,2D compartment - GoM,0
967,2D compartment - GoM,0
968,2D compartment - GoM,0
969,2D compartment - GoM,0
970,2D compartment - GoM,0
971,2D compartment - GoM,0
