Model Group,ProjectID,ProjectNumberVersion,ProjectName,,
G606,3070100,307b,South Breton Basin Landbridge Marsh Creation - West,,
G650,3070200,307c,South Breton Basin Landbridge Marsh Creation - Central,,
G623,3070300,307d,South Breton Land Bridge Marsh Creation - East,,
G618,3250000,325a,Lower Barataria Basin Landbridge,,
G642,3250100,325b,Lower Barataria Basin Landbridge - West,,
G643,3250200,325c,Lower Barataria Basin Landbridge - East,,
G644,3260000,326a,Mid-Barataria Basin Landbridge,,
G651,3260100,326b,Mid Barataria Basin Landbridge - West,,
G652,3260200,326c,Mid Barataria Basin Landbridge - East,,
G620,3350000,335a,Eastern Terrebonne Basin Landbridge,,
G633,3350100,335b,Eastern Terrebonne Basin Landbridge - West,,
G634,3350200,335c,Eastern Terrebonne Basin Landbridge - Central,,
G635,3350300,335d,Eastern Terrebonne Basin Landbridge - East,,
G609,3410000,341a,Charenton Diversion,,
G614,3440100,344b,Central Coast Marsh Creation,,
