ICM-Hydro_compartment,CRMS_site,LDEQ_site
325,na,na
326,na,na
327,na,na
328,na,na
329,na,na
330,na,na
331,na,na
332,na,na
333,na,na
334,na,na
335,na,na
336,na,na
337,na,na
338,na,na
339,na,na
340,na,na
341,na,na
342,na,na
343,na,na
344,na,na
345,na,na
346,na,na
347,na,na
348,na,na
349,na,na
350,na,na
351,na,na
352,na,na
353,na,na
354,na,na
355,na,LDEQ_0228
356,CRMS5452-H01,LDEQ_1106
357,na,na
358,na,LDEQ_1104
359,na,LDEQ_0106
360,na,na
361,na,LDEQ_0105
362,na,na
363,na,LDEQ_3594
364,na,na
365,na,LDEQ_0032
366,CRMS3650-H01,LDEQ_1064
367,na,na
368,na,na
369,na,na
370,na,LDEQ_0905
371,na,na
372,na,na
373,na,LDEQ_0898
374,na,na
375,na,na
376,na,na
377,na,na
378,na,na
379,na,na
380,na,na
381,na,na
382,na,LDEQ_1084
383,na,na
384,na,na
385,na,na
386,na,na
387,na,na
388,na,na
389,na,na
390,na,LDEQ_1202
391,na,na
392,na,na
393,na,na
394,na,LDEQ_1198
395,na,na
396,na,na
397,na,na
398,na,LDEQ_0693
399,na,LDEQ_2148
400,na,na
401,na,na
402,na,na
403,na,na
404,na,na
405,na,na
406,na,na
407,na,na
408,na,na
409,na,na
410,na,na
411,na,na
412,na,na
413,na,na
414,na,na
415,na,na
416,na,na
417,na,na
418,na,na
419,na,na
420,na,na
421,na,na
422,CRMS0517-H01,na
423,na,na
424,CRMS6008-H01,na
425,na,na
426,CRMS0542-H01,na
427,CRMS0493-H02,na
428,na,na
429,na,na
430,CRMS0513-H01,na
431,CRMS0550-H01,na
432,CRMS0547-H01,na
433,na,na
434,na,na
435,na,na
436,na,na
437,CRMS5992-H01,na
438,na,LDEQ_0144
439,na,na
440,CRMS5536-H01,na
441,na,na
442,na,na
443,CRMS0332-H01,na
444,na,na
445,na,na
446,CRMS4782-H01,na
447,na,na
448,CRMS4779-H01,na
449,na,na
450,na,na
451,na,na
452,CRMS0494-H02,na
453,na,na
454,na,na
455,CRMS0488-H01,na
456,na,na
457,na,na
458,na,na
459,na,LDEQ_0110
460,na,na
461,CRMS0529-H01,na
462,CRMS0369-H01,na
463,na,na
464,na,na
465,na,na
466,CRMS0394-H01,na
467,na,na
468,na,na
469,na,na
470,na,LDEQ_0344
471,na,na
472,CRMS0395-H01,na
473,na,na
474,na,na
475,CRMS0354-H01,na
476,na,na
477,CRMS0434-H01,na
478,CRMS0292-H01,LDEQ_0959
479,na,LDEQ_0922
480,na,na
481,na,na
482,na,LDEQ_0927
483,na,na
484,CRMS0335-H01,na
485,na,na
486,na,LDEQ_0958
487,na,na
488,na,LDEQ_0930
489,CRMS5770-H01,na
490,na,na
491,na,na
492,na,na
493,na,na
494,na,LDEQ_0962
495,na,na
496,na,na
497,na,na
498,na,na
499,na,na
500,na,na
501,na,na
502,na,na
503,na,na
504,na,LDEQ_0977
505,na,na
506,na,na
507,CRMS0386-H01,na
508,CRMS0387-H01,na
509,CRMS3296-H01,na
510,CRMS0397-H01,na
511,CRMS0385-H01,na
512,na,na
513,na,na
514,na,LDEQ_0954
515,na,na
516,CRMS2939-H01,na
517,na,na
518,na,LDEQ_2843
519,na,na
520,na,na
521,na,na
522,na,LDEQ_0346
523,na,na
524,na,na
525,CRMS0414-H01,na
526,na,na
527,na,na
528,CRMS0367-H01,LDEQ_0341
529,na,na
530,CRMS0978-H01,na
531,na,na
532,CRMS2825-H01,na
533,na,na
534,na,na
535,na,na
536,na,na
537,na,na
538,na,na
539,CRMS0312-H01,na
540,na,na
541,na,na
542,na,na
543,na,na
544,CRMS0508-H01,na
545,na,na
546,CRMS0501-H01,na
547,na,na
548,na,na
549,na,na
550,CRMS0549-H02,na
551,CRMS0527-H02,LDEQ_0316
552,CRMS0523-H01,na
553,CRMS0536-H01,na
554,na,na
555,na,na
556,na,na
557,na,na
558,na,LDEQ_0691
559,na,na
560,na,na
561,na,na
562,CRMS0535-H01,na
563,na,na
564,na,na
565,CRMS0507-H01,na
566,na,na
567,na,na
568,na,na
569,na,na
570,na,na
571,CRMS0541-H01,LDEQ_0697
572,na,na
573,na,LDEQ_1204
574,CRMS0504-H01,na
575,na,na
